"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
285030,1,0,4,1,,,0.670,2.700,,1.770,0.150,3
285030,0,,1,0,10.000,0.400,0.500,15.000,0.670,,0.333,
285031,0,0,1,1,,,1.080,5.450,,2.710,0.456,16
285032,0,1,4,1,0.730,0.100,1.430,3.290,0.560,1.150,0.173,0
285034,0,,,0,3.300,0.450,0.450,4.650,0.690,,0.355,
285040,0,,,0,14.500,0.780,0.450,22.250,0.640,,0.326,
285041,0,0,4,1,,,1.470,3.695,,1.850,0.050,0
285060,0,0,1,1,,,1.760,7.300,,2.870,0.292,24
285070,0,,1,0,19.000,0.400,0.650,34.500,0.310,,0.275,
285080,0,,1,0,24.000,0.550,0.600,32.000,0.490,,0.375,
285081,1,,,0,1.500,0.370,0.570,2.000,0.680,,0.375,
285081,0,,,0,6.500,0.450,0.425,12.250,0.520,,0.265,
290010,0,,1,0,4.750,0.330,0.400,7.875,0.540,,0.302,
290020,0,0,4,1,,,0.720,2.560,,1.860,0.414,4
290021,0,0,1,1,,,1.170,5.200,,2.410,0.123,10
290030,0,1,4,1,2.250,0.070,1.480,4.550,0.640,1.350,0.263,1
290040,0,0,4,1,,,1.170,4.790,,2.230,0.167,7
290041,0,,1,0,8.290,0.780,0.370,9.145,0.560,,0.453,
290050,0,1,4,1,0.525,0.150,1.180,2.630,0.560,1.190,0.124,0
290060,1,1,1,1,,,1.360,3.695,,2.430,0.208,7
290080,0,0,4,1,,,0.980,2.840,,1.700,0.143,0
290090,0,0,4,1,,,1.550,6.400,,2.230,0.315,7
290100,0,1,4,1,,,1.110,2.875,,2.260,0.297,3
290110,0,0,5,1,,,1.160,2.705,,3.280,0.191,1
290112,0,0,5,1,,,0.530,2.040,,1.620,0.226,0
290113,0,0,5,1,,,0.970,2.555,,3.110,0.193,4
290120,0,0,5,1,,,1.300,4.615,,4.510,0.156,16
290161,0,0,4,1,,,1.500,5.250,,1.820,0.119,5
290180,0,,,0,3.100,0.390,0.350,4.050,0.520,,0.383,
290190,0,1,4,1,,,1.190,2.235,,1.200,0.185,0
290191,0,0,1,1,,,0.630,1.730,,1.540,0.103,2
290200,0,0,4,1,2.750,0.300,1.130,4.280,0.670,1.540,0.480,8
290210,0,,,0,1.630,0.255,0.380,5.415,0.660,,0.151,
290220,0,0,4,1,,,0.930,3.225,,1.980,0.477,3
290240,0,0,4,1,0.250,0.150,1.410,3.440,0.700,1.510,0.071,0
290250,0,1,4,1,,,0.510,1.090,,1.270,0.653,0
290260,0,0,4,1,,,0.690,1.345,,1.600,0.263,0
290270,0,0,4,1,,,1.140,3.200,,2.540,0.400,5
290290,0,0,4,1,,,0.920,4.815,,2.830,0.337,9
290300,0,0,4,1,,,1.140,3.220,,1.720,0.196,5
290310,1,0,4,1,,,0.880,1.790,,1.220,0.141,0
290310,0,,,0,7.550,0.575,0.680,15.275,0.720,,0.247,
290320,1,0,4,1,,,0.980,2.525,,1.300,0.045,0
290320,0,,1,0,8.500,0.350,0.550,13.250,0.560,,0.321,
290331,0,1,4,1,,,0.680,1.665,,1.520,0.219,0
290340,0,0,4,1,,,1.730,3.515,,1.290,0.114,0
290360,0,0,5,1,,,1.790,3.410,,1.970,0.087,3
290380,0,0,5,1,,,1.110,5.650,,3.500,0.350,11
290390,0,1,4,1,,,2.290,6.800,,1.240,0.100,4
300010,0,0,1,1,,,1.760,4.755,,1.760,0.053,4
300020,0,0,4,1,,,1.510,5.150,,2.680,0.104,5
300030,0,0,4,1,,,1.260,3.095,,1.320,0.064,3
300040,0,1,4,1,,,1.670,4.535,,1.230,0.156,4
300042,0,0,4,1,,,0.580,1.330,,1.360,0.187,0
300050,0,0,4,1,7.860,0.470,1.000,11.150,0.590,,0.353,21
300053,0,0,4,1,,,1.700,3.420,,1.370,0.067,2
300057,0,0,4,1,,,0.550,1.755,,1.910,0.164,0
300058,0,0,4,1,,,1.390,6.700,,2.160,0.401,13
300059,0,0,4,1,,,0.560,1.575,,1.570,0.204,0
300060,0,0,4,1,2.320,0.230,1.980,4.755,,1.560,0.244,0
300070,1,1,4,1,,,0.880,4.180,,1.940,0.293,6
300080,1,0,4,1,,,2.080,3.835,,1.250,0.037,0
300083,0,0,4,1,,,2.100,3.875,,1.330,0.067,2
300090,0,0,4,1,,,2.640,5.050,,1.410,0.053,0
300100,0,0,4,1,,,2.160,7.450,,2.050,0.333,13
300110,0,0,1,1,,,1.470,5.450,,2.190,0.397,12
300120,0,0,4,1,,,2.310,6.050,,2.250,0.123,4
300123,0,0,4,1,,,1.560,3.615,,1.520,0.073,7
300130,0,0,4,1,,,0.820,1.705,,1.180,0.107,0
300160,0,0,4,1,,,1.550,4.395,,1.740,0.098,5
300170,0,,1,0,11.000,0.250,0.600,17.500,0.480,,0.314,
300190,1,0,4,1,0.710,0.080,1.000,2.940,,1.820,0.405,3
300190,0,,1,0,9.000,0.350,0.600,13.500,0.670,,0.333,
300200,0,0,4,1,,,2.920,5.950,,1.330,0.032,1
300201,0,0,4,1,,,1.320,7.650,,3.930,0.293,24
300210,0,0,4,1,,,1.580,4.340,,2.280,0.281,7
300220,0,0,1,1,,,0.770,1.700,,1.860,0.410,4
300230,0,0,4,1,,,1.340,2.630,,1.200,0.076,0
300240,0,0,4,1,1.690,0.430,2.810,8.000,,1.860,0.303,5
300241,1,0,4,1,,,2.030,4.415,,1.450,0.045,3
300241,1,0,4,1,,,1.050,1.865,,1.300,0.108,3
300242,0,0,1,1,,,2.200,6.100,,1.930,0.062,9
300250,0,0,1,1,1.750,0.800,1.470,2.945,0.380,1.260,0.292,3
300251,0,0,1,1,,,2.580,3.380,,1.390,0.057,0
300260,0,1,1,1,,,3.470,5.750,,1.090,0.066,0
300261,0,0,4,1,,,3.110,10.200,,1.820,0.279,8
300270,0,0,4,1,2.250,0.500,2.750,9.450,0.270,2.390,0.214,17
300272,0,0,4,1,2.340,0.260,1.250,3.695,,,0.317,6
300280,0,0,4,1,,,2.510,7.350,,1.610,0.044,11
300340,0,0,4,1,,,0.930,2.460,,1.300,0.169,0
300390,0,0,4,1,,,1.050,3.285,,1.360,0.431,0
300450,0,0,1,1,,,2.250,12.700,,4.350,0.239,51
300460,0,0,4,1,,,0.950,2.205,,1.200,0.097,0
300550,0,0,4,1,,,1.100,5.050,,1.980,0.059,19
300680,0,0,4,1,,,0.960,1.660,,1.330,0.112,0
305060,0,0,4,1,5.200,0.400,1.330,9.450,0.590,2.000,0.275,19
306030,0,0,4,1,,,0.950,4.790,,2.330,0.272,29
306040,0,0,1,1,,,1.820,13.550,,1.890,0.025,54
311010,0,0,4,1,,,0.650,2.420,,1.760,0.546,5
311020,0,1,4,1,,,1.180,3.285,,1.440,0.149,2
311030,0,0,4,1,,,1.120,3.245,,1.370,0.081,0
311050,0,0,4,1,,,1.150,2.100,,1.590,0.077,1
311060,0,0,4,1,9.000,0.600,1.190,8.450,0.660,1.900,0.594,35
311070,0,0,4,1,,,1.530,4.600,,1.570,0.059,2
311080,0,0,4,1,,,1.780,4.380,,2.680,0.499,5
311090,0,1,4,1,,,1.410,4.000,,2.060,0.227,4
311100,0,0,4,1,,,0.700,1.485,,1.450,0.111,0
311110,0,0,4,1,,,1.260,2.210,,1.110,0.114,0
311111,0,0,4,1,,,1.150,4.690,,2.170,0.314,6
311120,0,0,4,1,,,1.710,4.385,,1.740,0.275,7
311130,0,0,4,1,1.190,0.240,0.280,1.240,,1.350,0.479,0
311160,0,0,4,1,,,1.440,7.800,,1.920,0.255,24
311161,0,0,4,1,0.740,0.160,1.520,3.280,0.520,1.620,0.268,0
311190,0,0,4,1,,,0.790,1.550,,1.210,0.276,0
311200,0,0,4,1,,,0.990,1.615,,1.410,0.518,0
311210,0,0,4,1,3.470,0.150,0.530,3.610,,1.640,0.481,0
311220,0,0,4,1,2.090,0.370,1.230,4.130,0.790,1.270,0.253,0
311230,0,0,4,1,,,1.570,3.590,,1.190,0.061,0
311240,0,0,4,1,,,1.720,3.830,,1.140,0.045,0
311241,0,0,4,1,,,1.130,5.100,,2.330,0.335,9
311250,0,0,4,1,,,0.840,1.650,,1.490,0.084,0
311260,0,0,4,1,,,0.830,1.620,,1.920,0.137,2
311270,0,0,4,1,1.500,0.275,2.000,4.735,0.780,1.130,0.157,0
311280,0,0,4,1,,,1.780,5.100,,2.850,0.204,8
311290,0,0,4,1,11.100,0.540,1.210,10.500,0.630,,0.528,9
311310,1,0,4,1,,,1.810,7.100,,2.100,0.228,12
311310,0,,1,0,2.800,0.750,1.200,12.400,0.560,,0.113,
311320,0,0,1,1,2.530,0.210,1.130,3.840,,1.860,0.329,3
311340,0,0,4,1,,,1.930,13.550,,1.800,0.404,29
311350,0,,1,0,14.250,0.315,0.440,20.125,0.370,,0.354,
311360,0,0,4,1,,,2.600,8.150,,1.380,0.023,5
311370,0,0,4,1,,,2.200,5.450,,1.650,0.065,12
311380,0,0,4,1,,,1.670,5.350,,3.040,0.395,10
311390,0,0,4,1,,,0.540,1.500,,1.440,0.133,2
312010,0,0,1,1,,,1.690,6.050,,1.790,0.026,15
312011,0,0,1,1,,,1.360,4.265,,1.800,0.056,8
312020,1,0,4,1,,,0.950,2.610,,1.590,0.081,0
312030,0,0,4,1,,,1.550,2.790,,1.750,0.083,2
312040,0,0,4,1,,,1.790,3.275,,1.150,0.052,0
312050,0,0,4,1,1.840,0.320,1.090,3.580,,1.550,0.257,3
312060,0,0,1,1,,,1.700,5.150,,2.150,0.316,9
312070,0,0,1,1,8.800,0.350,2.350,14.500,0.600,1.880,0.350,32
312080,0,,,0,3.100,0.160,0.700,10.500,0.520,,0.148,
312090,0,,,0,10.800,0.480,0.930,20.400,0.720,,0.265,
312090,1,,,0,0.820,0.150,0.500,3.010,0.800,,0.136,
312110,0,0,4,1,,,1.570,3.375,,1.750,0.109,2
312130,1,0,4,1,,,1.090,2.515,,1.220,0.212,0
312150,0,0,4,1,0.350,0.100,1.660,4.100,0.440,2.130,0.248,4
312160,0,0,1,1,,,1.050,2.525,,3.970,0.416,5
312170,0,0,1,1,3.530,0.440,0.800,2.995,0.370,,0.589,6
312190,0,1,4,1,,,1.610,3.445,,1.280,0.198,0
312200,0,0,1,1,,,1.550,4.840,,3.260,0.266,5
312250,0,,1,0,3.000,0.350,1.780,5.000,0.490,,0.300,
312260,0,0,4,1,,,1.530,3.405,,1.820,0.122,2
312270,0,0,1,1,,,1.660,3.900,,1.910,0.101,4
313010,0,0,1,1,,,1.210,3.290,,1.200,0.084,0
314010,0,0,4,1,,,0.180,5.650,,3.360,0.538,12
315020,0,,1,0,5.000,0.200,2.900,25.000,0.280,,0.100,
315040,0,0,4,1,0.720,0.130,0.710,1.710,0.550,1.440,0.385,0
315040,1,,,0,2.220,0.340,0.430,4.500,0.500,,0.247,
320180,0,0,4,1,,,2.210,6.900,,3.090,0.401,12
320200,0,0,1,1,,,2.450,6.000,,2.260,0.067,19
321010,0,0,1,1,,,2.510,5.250,0.530,1.680,0.035,6
321020,0,0,4,1,,,2.020,4.250,,1.690,0.079,4
321030,0,0,1,1,0.350,0.100,3.200,7.000,0.740,1.730,0.138,9
321040,0,0,4,1,,,2.320,6.150,,1.750,0.090,5
321050,0,0,4,1,,,1.490,3.750,,1.570,0.214,3
322010,0,0,4,1,,,2.510,7.500,,1.410,0.067,2
322020,0,0,4,1,,,1.930,4.720,,1.780,0.035,2
322060,0,0,1,1,0.310,0.068,0.630,3.720,0.450,1.460,0.079,2
322070,1,0,1,1,,,1.070,3.065,,2.150,0.351,6
322070,1,0,4,1,,,1.360,3.285,,1.430,0.064,6
322090,0,0,4,1,,,0.980,2.525,,1.320,0.084,0
322110,0,0,1,1,7.520,0.280,1.000,13.350,,1.770,0.281,62
322160,0,,,0,9.750,0.925,0.900,18.475,0.610,,0.264,
322160,1,,,0,0.430,0.033,0.515,4.365,0.380,,0.049,
323010,0,0,4,1,,,2.930,9.300,,1.460,0.028,13
323020,0,0,1,1,8.500,0.150,1.080,13.300,0.350,1.570,0.450,70
323080,0,0,,1,,,1.060,1.895,,1.440,0.144,3
323080,1,,1,0,0.210,0.015,0.610,3.505,0.600,,0.030,
324020,1,,,0,0.510,0.049,0.052,2.005,0.150,,0.127,
324020,1,,,0,0.958,0.020,0.160,5.259,0.370,,0.091,
324020,1,,,0,0.505,0.031,0.091,3.503,0.100,,0.072,
324020,1,,1,0,0.150,0.011,0.090,5.075,0.380,,0.015,
324020,1,,,0,0.735,0.035,0.162,4.668,0.240,,0.079,
324020,1,,,0,0.600,0.030,0.070,3.000,0.360,,0.100,
324030,1,,,0,0.140,0.021,0.148,9.770,0.190,,0.007,
324040,1,,1,0,0.390,0.007,0.081,4.495,0.470,,0.043,
325010,1,,1,0,0.730,0.015,0.066,5.015,0.420,,0.073,
325010,1,,1,0,33.000,0.200,0.400,32.500,0.590,,0.508,
325010,1,,,0,0.354,0.014,0.066,3.002,0.350,,0.059,
325010,0,,1,0,59.000,0.500,0.700,54.500,0.400,,0.541,
329020,1,,,0,3.500,0.500,1.265,9.750,0.560,,0.179,
332010,1,,2,0,5.600,0.100,3.900,58.800,0.460,,0.048,
332020,0,0,5,1,5.600,0.115,4.160,31.650,0.240,1.800,0.103,10
332030,0,0,1,1,,,3.240,16.250,,1.410,0.142,30
332040,0,1,1,1,,,2.250,9.750,,2.320,0.158,7
332060,0,0,5,1,,,3.040,20.950,,2.620,0.224,46
341005,0,0,4,1,,,0.440,1.020,,1.630,0.233,0
341010,1,0,4,1,,,1.410,3.085,,1.550,0.118,1
341011,0,0,4,1,1.370,0.140,0.220,1.895,0.740,1.380,0.361,0
341020,0,,,0,0.650,0.075,0.300,1.000,0.780,,0.325,
341021,0,0,4,1,3.800,0.100,1.030,6.350,0.510,1.670,0.379,7
341024,0,0,4,1,,,1.090,3.235,,1.830,0.229,5
341030,0,0,1,1,,,1.270,5.050,,1.290,0.251,7
341040,0,0,4,1,0.350,0.060,1.530,2.385,0.750,1.250,0.078,0
341062,0,0,1,1,,,1.160,4.135,,1.740,0.132,6
341070,0,0,1,1,2.300,0.200,1.910,8.550,0.370,1.720,0.205,22
341082,0,0,1,1,,,2.500,8.050,,2.580,0.035,21
341090,0,0,4,1,0.630,0.170,2.710,7.850,0.430,1.320,0.075,7
341091,0,0,4,1,,,1.870,9.650,,1.480,0.020,7
341094,0,1,4,1,,,0.770,5.000,,1.940,0.185,6
341096,0,0,1,1,,,2.780,12.300,,1.810,0.064,22
341098,0,0,1,1,,,1.860,8.350,,4.150,0.130,34
341100,0,0,1,1,0.316,0.300,3.020,7.200,0.730,1.450,0.022,11
341110,0,0,1,1,,,1.280,8.200,0.440,2.680,0.084,73
341130,0,0,1,1,,,3.190,5.850,,1.710,0.051,15
342020,0,0,1,1,,,3.170,5.950,,1.640,0.030,4
342030,0,0,4,1,,,2.680,4.560,,1.270,0.045,4
342060,1,0,4,1,,,2.340,4.510,,1.180,0.044,1
342060,0,,,0,20.000,0.800,1.500,24.000,0.620,,0.417,
342070,0,0,4,1,,,1.500,3.230,,2.060,0.165,2
342080,0,0,4,1,,,2.530,4.560,,1.550,0.043,2
342090,0,0,4,1,,,2.720,5.000,,1.990,0.033,2
342100,0,0,4,1,0.290,0.040,2.560,5.950,0.760,1.150,0.031,1
342110,0,0,4,1,,,1.210,2.830,,1.500,0.426,4
342120,0,0,4,1,,,1.270,1.985,,2.120,0.220,0
342130,0,0,1,1,,,1.510,10.150,,4.350,0.258,54
342141,0,0,4,1,,,0.620,1.975,,2.040,0.097,2
342160,0,0,4,1,,,1.150,3.300,,1.900,0.155,4
342170,0,0,4,1,,,0.840,1.755,,1.250,0.155,0
342190,0,0,1,1,1.170,0.090,0.740,2.965,,1.250,0.197,2
343010,1,0,4,1,,,0.760,1.305,,1.290,0.116,0
343020,0,0,1,1,0.940,0.180,1.300,3.385,,1.240,0.319,0
343030,0,0,4,1,0.186,0.032,0.790,1.000,0.790,1.150,0.129,0
343041,0,,,0,8.750,0.500,1.000,10.375,0.360,,0.422,
343050,0,0,4,1,1.610,0.470,1.420,6.750,0.820,1.560,0.311,3
343052,0,0,4,1,,,1.040,4.460,,2.290,0.176,11
343060,0,,,0,13.000,0.570,0.600,15.500,0.500,,0.419,
343070,0,0,4,1,,,1.640,4.225,,1.860,0.168,2
343072,0,1,4,1,,,0.680,1.610,,1.640,0.419,2
343080,0,0,1,1,,,1.380,6.400,,2.810,0.225,7
343081,0,0,4,1,,,1.120,2.470,,1.640,0.140,0
343082,0,0,4,1,,,1.200,4.360,,1.850,0.108,4
343090,0,0,4,1,2.180,0.340,0.970,4.420,0.700,2.350,0.246,4
343100,0,0,4,1,0.700,0.170,1.850,4.715,,1.130,0.133,0
343130,0,0,4,1,,,0.740,1.815,,1.270,0.152,0
343140,0,0,4,1,,,0.630,2.875,,2.160,0.126,3
344010,0,0,1,1,2.570,0.560,0.820,5.950,0.570,1.730,0.216,4
344020,0,1,4,1,,,1.240,2.845,,1.250,0.164,0
344040,0,0,1,1,,,0.890,3.405,,2.280,0.479,5
344060,0,0,4,1,,,0.720,3.380,,1.650,0.236,3
344080,0,1,4,1,0.600,0.120,0.920,3.445,0.660,1.860,0.455,7
344090,0,0,4,1,,,1.060,2.225,,1.180,0.086,0
344091,0,0,4,1,2.820,0.310,0.450,2.915,0.600,1.720,0.483,3
344100,0,,1,0,6.250,0.100,0.100,6.525,0.280,,0.479,
344110,0,0,4,1,,,1.150,4.090,,2.410,0.165,3
344111,0,0,4,1,,,0.590,3.900,,2.280,0.148,6
344120,0,0,4,1,,,1.410,3.055,,1.150,0.070,0
344132,0,0,4,1,,,0.400,1.500,,1.860,0.312,0
344133,0,,1,0,6.700,0.300,0.400,10.850,0.640,,0.309,
345010,0,0,1,1,,,1.260,6.550,,2.460,0.375,14
345020,0,1,4,1,,,1.470,8.000,,2.780,0.277,14
345030,0,1,4,1,,,1.550,7.150,,1.820,0.338,15
345031,0,0,4,1,,,1.560,6.800,,1.770,0.052,20
345033,0,0,4,1,0.120,0.030,1.190,2.180,0.500,1.250,0.095,0
345034,0,0,1,1,,,2.020,12.500,,2.800,0.127,69
345040,0,1,1,1,1.250,0.250,2.160,10.600,0.590,1.730,0.212,20
345050,0,0,1,1,,,2.800,16.200,,2.000,0.032,61
345060,0,1,1,1,,,3.170,13.550,,3.570,0.060,45
345070,0,1,1,1,,,2.930,11.750,,1.880,0.070,31
346010,0,0,4,1,,,2.630,8.950,,1.580,0.144,22
351012,0,0,4,1,,,1.490,3.215,,2.040,0.175,7
351020,0,1,4,1,,,2.530,8.900,,1.540,0.143,21
351021,0,0,4,1,,,1.030,3.975,,3.150,0.270,7
351030,0,0,4,1,,,2.390,4.185,,1.450,0.064,6
351040,0,0,4,1,,,1.090,2.040,,1.620,0.186,5
351050,0,0,4,1,,,3.300,7.900,,2.760,0.083,17
351060,0,1,4,1,,,2.030,8.950,,2.050,0.254,19
351061,0,0,4,1,,,0.880,1.565,,1.420,0.261,2
351070,0,0,1,1,,,1.030,2.255,,1.870,0.225,3
351080,0,0,1,1,,,2.600,8.950,0.250,2.190,0.081,17
351090,0,0,1,1,2.750,0.300,1.700,6.850,0.690,2.390,0.204,9
351100,0,0,4,1,0.225,0.100,1.480,3.615,0.640,1.950,0.189,4
351110,1,0,4,1,1.200,0.800,1.390,2.595,0.360,1.700,0.273,3
352001,0,0,1,1,,,2.260,3.410,,2.420,0.116,2
352004,0,0,1,1,,,1.750,3.905,,1.850,0.085,5
352005,0,0,4,1,,,2.030,8.750,,1.820,0.440,25
352006,0,0,1,1,,,2.450,7.950,,1.680,0.037,18
352010,0,0,1,1,1.050,0.300,2.500,7.350,0.820,1.570,0.158,16
352020,0,0,1,1,,,3.170,11.350,,2.060,0.170,70
352021,0,0,4,1,,,2.280,7.200,,2.340,0.086,33
352030,0,0,4,1,,,3.040,6.400,,1.720,0.029,5
352040,0,0,4,1,0.350,0.100,2.640,8.050,0.560,1.520,0.032,12
352041,0,0,1,1,,,2.110,7.450,,1.850,0.134,11
352050,0,1,4,1,0.625,0.215,2.130,5.400,0.610,1.230,0.081,6
352060,0,,1,0,3.500,0.450,1.000,5.250,0.650,,0.333,
352071,0,0,4,1,,,2.680,6.950,,1.680,0.064,4
352080,0,1,1,1,0.400,0.140,3.260,7.150,0.560,1.520,0.085,6
352090,0,0,1,1,,,3.420,6.700,,1.460,0.035,9
353010,0,0,4,1,5.740,0.830,1.430,10.750,0.420,1.290,0.342,2
353011,0,0,4,1,,,0.880,2.865,,3.320,0.188,3
353020,0,0,4,1,5.490,0.650,1.700,11.050,0.520,1.370,0.309,2
353030,0,0,4,1,5.560,0.270,1.370,9.300,0.840,1.140,0.378,3
353040,0,0,4,1,7.570,0.320,1.160,13.800,0.570,1.300,0.318,5
353050,0,0,1,1,8.530,0.150,0.990,11.750,0.640,1.130,0.417,3
353060,0,0,4,1,3.800,0.400,1.670,10.450,,1.180,0.270,2
353070,0,1,4,1,,,0.630,4.390,,1.480,0.396,4
353080,0,0,4,1,,,0.320,6.500,,1.430,0.519,16
353081,0,,1,0,0.800,0.075,1.530,9.400,0.650,,0.043,
353090,0,0,5,1,,,0.900,9.000,,2.270,0.077,15
353091,0,0,4,1,,,0.850,16.100,,2.370,0.022,27
353120,0,0,4,1,,,0.710,9.450,,2.140,0.294,12
354002,0,0,4,1,,,0.980,2.625,,2.080,0.240,5
354003,0,0,4,1,,,2.050,8.450,,2.420,0.348,9
354006,1,0,4,1,,,1.950,5.300,,1.920,0.096,2
354006,0,0,4,1,,,1.250,3.720,,1.850,0.120,2
354007,0,0,1,1,,,2.910,10.000,,2.110,0.372,21
354010,0,1,4,1,,,2.820,5.350,,1.340,0.105,0
354020,0,0,4,1,1.200,0.280,2.200,4.325,,1.430,0.138,0
354040,0,0,4,1,,,1.200,4.390,,2.170,0.180,10
354050,0,1,4,1,,,1.790,4.945,,3.280,0.380,6
354060,0,0,4,1,,,1.020,2.495,,2.510,0.376,8
355010,0,0,4,1,,,1.450,3.130,,1.380,0.391,0
355011,0,0,4,1,,,1.570,5.350,,2.550,0.138,10
355012,0,0,4,1,,,1.590,3.150,,1.190,0.144,0
355020,0,0,4,1,,,1.260,2.935,,1.520,0.107,3
355021,0,0,4,1,1.840,0.170,0.430,3.285,,1.370,0.280,0
355030,0,1,4,1,,,1.520,4.465,,2.360,0.126,5
355032,0,0,4,1,,,1.540,3.450,,1.310,0.069,4
355040,0,0,4,1,,,0.960,2.125,,2.060,0.451,3
355050,0,0,4,1,,,1.120,5.050,,5.000,0.295,8
355061,0,0,1,1,,,2.060,5.550,,1.790,0.260,7
355070,1,0,4,1,,,2.560,6.250,,1.640,0.186,5
355090,0,1,1,1,,,1.330,4.280,,1.670,0.382,15
355091,0,1,1,1,,,1.560,8.300,,5.120,0.523,35
355092,0,0,4,1,,,2.010,3.010,,1.210,0.086,0
355093,0,0,4,1,,,0.980,4.410,,2.840,0.535,19
355094,1,0,4,1,,,1.030,2.275,,1.360,0.248,0
355095,0,0,4,1,,,1.030,1.580,,1.430,0.095,0
355096,0,0,4,1,,,1.220,2.395,,1.430,0.097,3
355098,0,1,4,1,,,1.220,2.455,,1.190,0.136,2
355100,0,0,4,1,,,1.310,3.280,,1.740,0.402,5
355102,0,0,4,1,,,1.850,4.710,,1.580,0.190,3
355104,0,0,4,1,,,0.470,1.335,,1.340,0.216,0
355107,0,0,1,1,,,2.610,9.800,,2.550,0.317,20
355109,0,0,1,1,,,2.360,7.100,,1.480,0.059,14
355110,0,0,4,1,,,2.100,5.300,,1.490,0.037,11
355112,0,0,1,1,,,0.640,2.840,,4.780,0.534,7
355120,0,0,1,1,,,1.080,3.455,,4.420,0.347,3
355121,0,1,4,1,,,0.790,3.665,,2.110,0.203,4
355122,0,1,1,1,,,1.450,6.100,,2.690,0.490,14
355123,0,1,1,1,,,1.500,7.950,,2.620,0.310,21
355124,0,0,1,1,1.090,0.090,1.390,9.950,,2.800,0.389,44
355125,0,1,4,1,,,2.240,6.300,,1.440,0.126,5
355130,0,0,1,1,,,1.640,5.600,,1.770,0.147,11
355131,0,0,4,1,,,0.960,2.230,,1.930,0.103,0
355150,0,0,4,1,,,1.220,3.235,,1.310,0.148,0
355160,0,0,4,1,1.240,0.130,2.080,6.000,,1.590,0.103,3
355190,1,1,1,1,,,1.890,6.400,,1.930,0.108,7
355200,0,0,4,1,,,1.830,3.755,,1.250,0.050,2
355220,0,1,1,1,,,1.870,6.950,,2.330,0.273,26
356011,1,0,5,1,,,0.500,3.905,,1.390,0.182,3
356011,1,,4,0,1.600,0.200,0.300,4.300,0.780,,0.186,
357020,0,1,4,1,,,3.240,5.450,,2.720,0.258,7
357021,1,0,4,1,,,1.740,3.935,,1.510,0.068,0
357022,0,0,4,1,,,1.470,1.900,,1.350,0.082,0
357024,0,0,1,1,,,2.860,7.600,,2.780,0.209,12
357040,0,0,1,1,,,2.720,8.300,,3.400,0.300,21
357050,0,0,4,1,1.090,0.050,1.450,2.965,,1.420,0.183,0
357060,0,0,4,1,,,1.230,2.265,,1.700,0.206,0
357062,0,0,1,1,,,2.350,4.750,,2.000,0.080,1
357063,0,0,4,1,,,2.150,4.545,,1.680,0.071,6
357064,0,0,4,1,,,0.770,1.995,,1.820,0.232,0
357066,0,0,1,1,8.500,0.160,1.640,9.300,0.560,2.110,0.609,29
357070,1,0,4,1,,,1.380,2.910,,1.730,0.064,0
357070,1,0,4,1,,,1.170,3.190,,1.650,0.237,0
357072,0,1,1,1,,,2.490,11.450,,1.980,0.329,35
357080,0,0,4,1,,,1.590,4.050,,1.250,0.046,2
357090,0,1,4,1,,,1.190,3.955,,1.550,0.220,0
357091,0,0,4,1,,,2.580,7.200,,1.840,0.050,5
357093,0,0,4,1,,,1.800,6.400,,1.700,0.077,12
357100,0,1,4,1,,,1.320,3.225,,1.400,0.167,2
357110,0,0,4,1,0.275,0.100,1.800,3.920,0.330,1.780,0.071,1
357120,0,0,4,1,,,1.750,4.395,,1.300,0.038,2
357121,0,0,4,1,,,0.920,2.735,,1.610,0.251,4
357122,0,0,4,1,,,2.470,4.755,,1.240,0.038,1
357130,0,0,4,1,,,1.700,5.800,,1.890,0.388,7
357150,1,0,1,1,,,2.030,15.500,,5.430,0.317,118
357150,1,0,4,1,2.160,0.210,1.050,3.745,,1.330,0.288,118
357150,0,,1,0,7.600,0.100,1.525,22.800,0.640,,0.167,
357160,1,0,4,1,,,1.630,2.910,,1.390,0.072,0
358010,0,0,4,1,,,2.200,4.385,,1.270,0.042,1
358020,0,0,4,1,,,1.700,6.200,,1.620,0.095,8
358022,0,0,5,1,,,2.140,6.550,,3.460,0.218,14
358023,0,0,4,1,,,1.430,2.845,,1.800,0.089,0
358040,0,0,4,1,,,1.850,3.620,,1.740,0.121,3
358049,0,0,1,1,,,1.960,5.300,,3.780,0.079,12
358050,0,0,4,1,,,1.570,3.830,,1.870,0.051,4
358052,0,0,4,1,,,2.270,5.800,,1.720,0.108,3
358054,0,0,4,1,,,1.480,3.995,,1.690,0.224,3
358055,0,0,4,1,,,1.750,4.550,,1.640,0.024,2
358056,0,0,4,1,,,1.780,3.125,,1.430,0.131,0
358057,0,0,1,1,,,1.770,11.550,,2.280,0.493,71
358059,0,0,1,1,,,2.390,4.725,,2.060,0.038,14
358060,0,0,4,1,,,2.180,7.150,,3.440,0.205,22
358070,0,0,4,1,,,1.350,4.960,,2.100,0.072,13
360010,0,0,4,1,,,0.840,2.005,,1.340,0.081,4
360020,0,1,4,1,0.760,0.215,0.550,1.950,0.620,1.160,0.310,0
360030,0,0,4,1,0.940,0.230,0.890,2.500,0.580,1.570,0.187,0
360040,0,0,4,1,,,0.950,4.485,,1.680,0.153,3
