Bayuda Volcanic Field,Sudan,225060
Sharat Kovakab,Syria,230010
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,231001
"Rahah, Harrat ar",Saudi Arabia,231010
"Uwayrid, Harrat",Saudi Arabia,231020
"Lunayyir, Harrat",Saudi Arabia,231040
"Ithnayn, Harrat",Saudi Arabia,231050
"Khaybar, Harrat",Saudi Arabia,231060
"Rahat, Harrat",Saudi Arabia,231070
"Kishb, Harrat",Saudi Arabia,231071
"Birk, Harrat al",Saudi Arabia,231072
"Yar, Jabal",Saudi Arabia,231080
"Arhab, Harra of",Yemen,231090
"Marha, Jabal el-",Yemen,231100
"Haylan, Jabal",Yemen,231110
"Dhamar, Harras of",Yemen,231120
"Sawad, Harra Es-",Yemen,231160
"Bal Haf, Harra of",Yemen,231170
Bir Borhut,Yemen,231180
Sahand,Iran,232001
Sabalan,Iran,232002
Damavand,Iran,232010
Bazman,Iran,232030
Kuh-e Nader,Iran,232040
Taftan,Iran,232050
"Grille, La",Comoros,233001
Mayotte Island,France,233005
Karthala,Comoros,233010
Ambre-Bobaomby,Madagascar,233011
Nosy-Be,Madagascar,233012
Ankaizina Field,Madagascar,233013
Itasy Volcanic Field,Madagascar,233014
Vakinankaratra,Madagascar,233015
"Fournaise, Piton de la",France,233020
Boomerang Seamount,France,234000
Amsterdam Island,France,234001
St. Paul,France,234002
Heard,Australia,234010
McDonald Islands,Australia,234011
Kerguelen Islands,France,234020
"Est, Ile de l'",France,234030
"Possession, Ile de la",France,234040
"Cochons, Ile aux",France,234050
Prince Edward Island,South Africa,234060
Marion Island,South Africa,234070
Kaikohe-Bay of Islands,New Zealand,241010
Whangarei,New Zealand,241011
Auckland Field,New Zealand,241020
Mayor Island,New Zealand,241021
Taranaki [Egmont],New Zealand,241030
White Island,New Zealand,241040
Okataina,New Zealand,241050
Reporoa,New Zealand,241060
Maroa,New Zealand,241061
Taupo,New Zealand,241070
Tongariro,New Zealand,241080
Ruapehu,New Zealand,241100
Clark,New Zealand,241101
Tangaroa,New Zealand,241102
Rumble V,New Zealand,241110
Rumble IV,New Zealand,241120
Rumble III,New Zealand,241130
Rumble II West,New Zealand,241131
Healy,New Zealand,241140
Brothers,New Zealand,241150
Wright,New Zealand,242001
Havre Seamount,New Zealand,242005
Curtis Island,New Zealand,242010
Macauley,New Zealand,242021
Giggenbach,New Zealand,242022
Raoul Island,New Zealand,242030
Monowai,New Zealand,242050
Unnamed,Undersea Features,243001
Unnamed,Tonga,243010
Unnamed,Tonga,243011
Unnamed,Tonga,243030
Hunga Tonga-Hunga Ha'apai,Tonga,243040
Fonuafo'ou,Tonga,243050
Tofua,Tonga,243060
Kao,Tonga,243061
Metis Shoal,Tonga,243070
Home Reef,Tonga,243080
Late,Tonga,243090
Unnamed,Tonga,243091
Fonualei,Tonga,243100
Tafahi,Tonga,243101
Curacoa,Tonga,243102
Niuafo'ou,Tonga,243110
Dugong,Tonga,243111
Lobster,Tonga,243112
Tafu-Maka,Tonga,243120
West Mata,Tonga,243130
Niuatahi,Tonga,243140
Vailulu'u,United States,244000
Ta'u,United States,244001
Ofu-Olosega,United States,244010
Tutuila,United States,244020
Upolu,Samoa,244030
Savai'i,Samoa,244040
Wallis Islands,France,244050
Taveuni,Fiji,245010
Koro,Fiji,245020
Nabukelevu,Fiji,245030
St. Andrew Strait,Papua New Guinea,250010
Baluan,Papua New Guinea,250020
Central Bismarck Sea,Papua New Guinea,250030
Blup Blup,Papua New Guinea,251001
Kadovar,Papua New Guinea,251002
Bam,Papua New Guinea,251010
Boisa,Papua New Guinea,251011
Manam,Papua New Guinea,251020
Karkar,Papua New Guinea,251030
Hankow Reef,Papua New Guinea,251041
Long Island,Papua New Guinea,251050
Umboi,Papua New Guinea,251060
Ritter Island,Papua New Guinea,251070
Sakar,Papua New Guinea,251080
Langila,Papua New Guinea,252010
Mundua,Papua New Guinea,252021
Garove,Papua New Guinea,252030
Dakataua,Papua New Guinea,252040
Bola,Papua New Guinea,252050
Garua Harbour,Papua New Guinea,252060
Krummel-Garbuna-Welcker,Papua New Guinea,252070
Lolo,Papua New Guinea,252071
Witori,Papua New Guinea,252080
